niche,grade,score,channel_name,channel_url,subscribers,total_views,video_count,view_sub_ratio,views_per_video,country,created_date
Finance & Investing,A EXCELLENT,77,incomeinvestor,https://youtube.com/channel/UC_3wPnBo5ODmRNvX2IPMFSQ,20100,3379173,10,168.1,337917,Unknown,2008-05-08
Finance & Investing,A EXCELLENT,76,Wealth Rebuilds,https://youtube.com/channel/UC7GzBBp6ojehcFJttuLHuEQ,90700,8232843,29,90.8,283891,US,2022-01-20
Finance & Investing,A EXCELLENT,75,Wealth Logic ,https://youtube.com/channel/UCZ-H-n8fa7NqReTRKe7ByEg,45900,5051922,53,110.1,95319,Unknown,2024-07-02
Finance & Investing,A EXCELLENT,70,That Finance Show,https://youtube.com/channel/UCZjqyrv6fXK-Z05LYmcV4jQ,36500,3496607,121,95.8,28897,GB,2020-11-13
Finance & Investing,A EXCELLENT,70,Matt Derron,https://youtube.com/channel/UClhTn4j-dsQ_-XIVg1usYqw,48600,4886843,307,100.6,15918,US,2020-07-11
Finance & Investing,A EXCELLENT,70,"Eric Seto, CPA",https://youtube.com/channel/UCdnKuoGHkZauYv8f0BowIuQ,44900,23641856,482,526.5,49049,HK,2011-04-16
Finance & Investing,A EXCELLENT,70,Josh Invests,https://youtube.com/channel/UCVNCrJybFWGQwyhhcf6Sa_Q,33400,3052763,102,91.4,29929,US,2024-11-25
Finance & Investing,A EXCELLENT,70,"Alok Dubey, CFP®",https://youtube.com/channel/UCUiJiMdlH9nc_cmLyKdLxtA,40200,4312137,227,107.3,18996,US,2023-12-12
Finance & Investing,A EXCELLENT,70,Telugu Nirvana,https://youtube.com/channel/UCKsAAY7cvC7FJgsvJGH-Efw,38200,10503892,233,275.0,45081,IN,2023-03-10
Finance & Investing,A EXCELLENT,67,"Taylor Demars, CFP®",https://youtube.com/channel/UCACBmqs6atdEiYQk0Z6SftA,26600,2432215,92,91.4,26437,Unknown,2011-09-30
Finance & Investing,A EXCELLENT,66,Profits Run,https://youtube.com/channel/UC0abuO9zwGl2icSq9SM1zKw,68700,5391333,206,78.5,26171,US,2012-05-04
Finance & Investing,B GOOD,61,Martik Finance,https://youtube.com/channel/UCZjVE44LOvxPyKA-tymFoyQ,79300,3389793,38,42.7,89205,Unknown,2025-01-01
Finance & Investing,B GOOD,56,J U M O K E   M I  |  Finance Nerd,https://youtube.com/channel/UCG3Eptha6hEISzZT7Azymdw,86900,2773261,97,31.9,28590,GB,2022-12-09
Business & Entrepreneurship,A+ GOLDEN OPPORTUNITY,84,Cute Things Channel,https://youtube.com/channel/UCHEoflbsNL0ebu-Pu9xiYxg,32600,14726516,53,451.7,277858,Unknown,2022-07-08
Business & Entrepreneurship,A+ GOLDEN OPPORTUNITY,80,Bmk Aesthetics ♡,https://youtube.com/channel/UCoDWNspgilFdSTVIt9zvFnA,49600,4827281,38,97.3,127033,PK,2023-01-10
Business & Entrepreneurship,A EXCELLENT,79,upMETHOD,https://youtube.com/channel/UCP17S33dXstceoOgXrNjiTA,16400,2271907,39,138.5,58254,US,2021-05-28
Business & Entrepreneurship,A EXCELLENT,76,Johanna Park,https://youtube.com/channel/UC7F_5SxQpvVGf-73B930OQw,51900,3082191,12,59.4,256849,Unknown,2023-02-23
Business & Entrepreneurship,A EXCELLENT,76,The Om Baraiya,https://youtube.com/channel/UC6sASJt80FsNXumbU306AEA,76600,5272576,36,68.8,146460,IN,2023-06-06
Business & Entrepreneurship,A EXCELLENT,75,Craft Biz Studio,https://youtube.com/channel/UCI1aMrmoZtWyzSfvMewGwbw,35000,3504076,55,100.1,63710,US,2022-09-12
Business & Entrepreneurship,A EXCELLENT,75,Cashup,https://youtube.com/channel/UCH1Lg0A-zzC2cd0a8y-W-oQ,22400,1288834,18,57.5,71601,IN,2025-05-30
Business & Entrepreneurship,A EXCELLENT,75,Manish Creates,https://youtube.com/channel/UCXSY7KExz0fnvx4NuGJdCxQ,49900,4273840,66,85.6,64755,IN,2024-11-05
Business & Entrepreneurship,A EXCELLENT,75,Grow With Suzie,https://youtube.com/channel/UCVrF7EQ430BIPGkAQukDEPw,45700,5697290,106,124.7,53748,IN,2023-08-08
Business & Entrepreneurship,A EXCELLENT,74,Business Ki Free Study,https://youtube.com/channel/UChpAfDHvyaYsNbUJlgIL5Sw,20500,2885767,68,140.8,42437,IN,2025-08-31
